Id,Naughtiness,Author,SpecialOptions,es-es,en-us,ca
17,3,,,Yo nunca he tenido un rollo de una noche.,Never have I ever had a one-night-stand,Jo mai he tingut un rotllo d'una nit.
18,5,,,Yo nunca me he acostado con alguien que he conocido en Tinder.,Never have I ever slept with someone I met on Tinder,Jo mai m'he ficat al llit amb algú que he conegut a tinder.
19,5,,,Yo nunca me he follado una almohada.,Never have I ever fucked a pillow.,Jo mai m'he follat ​​un coixí.
20,5,,,Yo nunca me he follado a un animal.,Never have I ever fucked a non human being.,Jo mai m'he follat ​​a un animal.
21,2,Steve,,Yo nunca he besado a un a un animal con lengua.,Never have I ever made out with an animal,Jo mai he besat a un a un animal amb llengua.> A> Steve <a <
22,5,Steve,,Yo nunca he follado con un familiar en la misma habitación.,Never have I ever had sex while a relative of mine was in the room,Jo mai he follat ​​amb un familiar a la mateixa habitació.> A> Steve <a <
23,3,Steve,,Yo nunca he sido pillado/a teniendo sexo.,Never have I ever been caught while having sex,Jo mai he estat enxampat tenint sexe.> A> Steve <a <
24,3,Steve,,Yo nunca he sido pillado/a masturbandome.,Never have I ever been caught touching myself,Jo mai he estat enxampat masturbant-me.> A> Steve <a <
25,3,Steve,,Yo nunca he pillado a mis padres teniendo sexo.,Never have I ever caught my parents doing it,Jo mai he enxampat als meus pares tenint sexe.> A> Steve <a <
26,5,Steve,,Yo nunca me he acostado con alguien con más de 10 años de diferencia.,Never have I ever slept with someone with who I had a 10 years difference (or more),Jo mai m'he ficat al llit amb algú amb més de 10 anys de diferència.> A> Steve <a <
27,3,Steve,,Yo nunca me he liado con alguien con más de 10 años de diferencia conmigo.,Never have I ever made out with someone with who I had a 10 or more years difference,Jo mai m'he embolicat amb algú amb més de 10 anys de diferència amb mi.> A> Steve <a <
28,4,,,Yo nunca he probado la cocaína.,Never have I ever tried cocaine,Jo mai he provat la cocaïna.
29,5,Anónimo,,Yo nunca he hecho un trio.,Never have I ever had a threesome.,Jo mai he fet un trio.
30,1,,,Yo nunca he acampado en la montaña.,Never have I ever camped in the mountains.,Jo mai he acampat a la muntanya.
31,1,,,Yo nunca he dormido en la playa.,Never have I ever slept on the beach.,Jo mai he dormit a la platja.
32,2,,,Yo nunca he tenido sexo con alguien famoso,Never have I ever have sex with someone famous,Jo mai he tingut sexe amb algú famós.
33,1,,,Yo nunca he montado en camello.,Never have I ever ridden a camel.,Jo mai he muntat en camell.
34,1,,,Yo nunca he hecho sandboard.,Never have I ever done sandboarding.,Jo mai he fet sandboard.
35,1,,,Yo nunca he hecho surf.,Never have I ever surfed.,Jo mai he fet surf.
36,1,,,Yo nunca he practicado esquí.,Never have I ever practiced skiing.,Jo mai he practicat esquí.
37,1,,,Yo nunca he nadado con tiburones.,Never have I ever swum with sharks.,Jo mai he nedat amb taurons.
38,3,,,Yo nunca he destrozado una almohada.,Never have I ever broken a pillow.,Jo mai he destrossat un coixí.
39,3,,,Yo nunca he roto la cama.,Never have I ever broken a bed.,Jo mai he trencat el llit.
40,2,,,Yo nunca he besado a la persona equivocada.,Never have I ever kissed the wrong person.,Jo mai he besat a la persona equivocada.
41,1,,,Yo nunca he comido demasiado picante.,Never have I ever eaten something too spicy for me,Jo mai he menjat massa picant.
42,2,,,Yo nunca he pedido un tenedor en un restaurante chino.,Never have I ever asked for a fork in a Chinese restaurant.,Jo mai he demanat una forquilla en un restaurant xinès.
43,2,,,Yo nunca he prendido fuego en la cocina.,Never have I ever started a fire in the kitchen accidentally,Jo mai he calat foc a la cuina.
44,2,,,Yo nunca me he quemado con el horno.,Never have I ever burned the oven.,Jo mai m'he cremat amb el forn.
45,1,,,Yo nunca he colgado una bandera en mi cuarto que no es de mi país.,Never have I ever hung a flag in my room from a different country than mine,Jo mai he penjat una bandera a la meva habitació que no és del meu país.
46,5,,,Yo nunca he probado hasta donde me entraba algún objeto fálico.,Never have I ever tried how deep a phallic object could enter in me,Jo mai he provat fins on em entrava algun objecte fàl·lic.
47,5,,,Yo nunca he usado utensilios domésticos para tocarme.,Never have I ever used housewares to masturbate.,Jo mai he fet servir estris domèstics per tocar-me.
48,5,,,Yo nunca me he tocado con la vibración del móvil.,Never have I ever touched myself with the vibration of the phone,Jo mai m'he tocat amb la vibració del mòbil.
49,5,,,Yo nunca he afeitado las partes intimas de otra persona.,Never have I ever shaved private parts of another person.,Jo mai he afaitat les parts íntimes d'una altra persona.
50,1,,,Yo nunca me he afeitado las partes intimas.,Never have I ever shaved my private parts.,Jo mai m'he afaitat les parts íntimes.
51,3,,,Yo nunca he comprado en una tienda erótica.,Never have I ever purchased something in a sex shop.,Jo mai he comprat en una botiga eròtica.
52,2,,,Yo nunca he ido al trabajo/escuela sin ropa interior.,Never have I ever gone to work / school without underwear.,Jo mai he anat a la feina / escola sense roba interior.
53,2,,,Yo nunca he ido al trabajo/escuela con la ropa al revés.,Never have I ever gone to work / school with my clothes upside down,Jo mai he anat a la feina / escola amb la roba a l'inrevés.
54,2,,,Yo nunca he bebido de una lata-cenicero.,Never have I ever drunk a can-ashtray.,Jo mai he begut d'una llauna-cendrer.
55,4,,,Yo nunca me he confundido de droga.,Never have I ever mistaken a drug,Jo mai m'he confós de droga.
56,4,,,Yo nunca he visto a uno de mis padres drogado.,Never have I ever seen one of my parents on drugs,Jo mai he vist a un dels meus pares drogat.
57,4,,,Yo nunca he fumado hierba en compañía de un familiar.,Never have I ever smoked weed with a relative,Jo mai he fumat en companyia d'un familiar.
58,1,,,Yo nunca he derribado una puerta.,Never have I ever thrown down a door,Jo mai he fet caure una porta.
59,1,,,Yo nunca he saltado por encima de una fogata.,Never have I ever jumped over a campfire.,Jo mai he saltat per sobre d'una foguera.
60,2,,,Yo nunca he roto un teclado o mando jugando a videojuegos.,Never have I ever broken a keyboard or joystick playing video games.,Jo mai he trencat un teclat o comandament jugant a videojocs.
61,2,,,Yo nunca he agredido a un policia.,Never have I ever attacked a policeman.,Jo mai he agredit un policia.
62,2,,,Yo nunca he hecho una barricada.,Never have I ever made a barricade.,Jo mai he fet una barricada.
63,2,,,Yo nunca he quemado mobiliario publico.,Never have I ever set public furniture on fire,Jo mai he cremat mobiliari públic.
64,1,,,Yo nunca he participado en una manifestacion.,Never have I ever participated in a demonstration.,Jo mai he participat en una manifestació.
65,1,,,Yo nunca he sido amenazado de muerte.,Never have I ever had a death threat,Jo mai he estat amenaçat de mort.
66,2,,,Yo nunca he estado en la carcel.,Never have I ever been in jail.,Jo mai he estat a la presó.
67,2,,,Yo nunca he estado detenido.,Never have I ever been arrested.,Jo mai he estat detingut.
68,4,,,Yo nunca he sido pillado con drogas encima.,Never have I ever caught carrying drugs,Jo mai he estat enxampat amb drogues a sobre.
69,1,,,Yo nunca he jugado a matar insectos.,Never have I ever played killing insects,Jo mai he jugat a matar insectes.
70,2,,,Yo nunca he tenido la regla cuando no tocaba.,Never have I ever had my period out of schedule,Jo mai he tingut la regla quan no tocava.
71,2,,,Yo nunca he tenido un susto de embarazo.,Never have I ever had a pregnancy scare.,Jo mai he tingut un ensurt d'embaràs.
72,2,,,Yo nunca me he meado encima.,Never have I ever peed myself,Jo mai m'he pixat a sobre.
73,2,Anónimo,,Yo nunca he meado en un lugar público.,Never have I ever peed in a public place.,Jo mai he pixat en un lloc públic.
74,2,,,Yo nunca he intentado cantar una canción que no sabía.,Never have I ever tried to sing a song I didn't know.,Jo mai he intentat cantar una cançó que no sabia.
75,1,,,Yo nunca he cantado el himno nacional de un país que no sea el mío.,Never have I ever sung the national anthem of a country other than mine.,Jo mai he cantat l'himne nacional d'un país que no sigui el meu.
76,1,,,Yo nunca he visto una luna roja.,Never have I ever seen a red moon.,Jo mai he vist una lluna vermella.
77,2,,,Yo nunca me he hecho pasar por extranjero.,Never have I ever pretended to be a foreigner,Jo mai m'he fet passar per estranger.
78,1,,,Yo nunca he lanzado un huevo contra algo.,Never have I ever thrown an egg against something.,Jo mai he llançat un ou contra alguna cosa.
79,2,,,Yo nunca he sido golpeado por un huevo.,Never have I ever been thrown an egg,Jo mai he estat colpejat per un ou.
80,4,,,Yo nunca he emborrachado a alguien.,Never have I ever gotten someone drunk,Jo mai he emborratxat a algú.
81,4,,,Yo nunca he influenciado a alguien para que fume.,Never have I ever influenced someone to smoke.,Jo mai he influenciat a algú perquè fumi.
82,4,,,Yo nunca he dicho que dejaría de fumar y no lo he hecho.,Never have I ever said I would quit smoking and not done it,Jo mai he dit que deixaria de fumar i no ho he fet.
83,2,,,Yo nunca me he duchado con alguien que no sea de mi familia.,Never have I ever taken a shower with a non relative,Jo mai m'he dutxat amb algú que no sigui de la meva família.
84,3,,,Yo nunca he intentado provocar que dos personas se liaran.,Never have I ever tried to make two people ,Jo mai he intentat provocar que dues persones lligaran.
85,2,,,Yo nunca me he caído en la piscina accidentalmente.,Never have I ever accidentally fallen into the pool,Jo mai he caigut a la piscina accidentalment.
86,1,,,Yo nunca me he bañado en la piscina en invierno.,Never have I ever swum in the pool in winter.,Jo mai m'he banyat a la piscina a l'hivern.
87,2,,,Yo nunca he fingido ser la pareja de alguien.,Never have I ever pretended to be someone's boyfriend / girlfriend,Jo mai he fingit ser el nuvi d'algú.
88,2,,,Yo nunca he suspendido en la autoescuela.,Never have I ever failed at the driving school.,Jo mai he suspès a l'autoescola.
89,3,,,Yo nunca me he planteado si era bisexual.,Never have I ever questioned whether if I was bisexual.,Jo mai m'he plantejat si era bisexual.
90,2,,,Yo nunca he puesto dinero en juegos de apuestas.,Never have I ever gambled with money,Jo mai he posat diners en jocs d'apostes.
91,3,,,Yo nunca he tenido un crush en un profesor/a.,Never have I ever had a crush on a teacher.,Jo mai he tingut un crush en un professor/a.
92,5,,,Yo nunca he espiado en los vestidores del sexo que me atrae.,Never have I ever spied into the locker room of the sex I feel attracted to,Jo mai he espiat en els vestidors de l'sexe que m'atrau.
93,2,,,Yo nunca me he perreado a mi mismo delante del espejo.,"Never have I ever done ""perreo"" to myself in the mirror",Jo mai m'he perreado a mi mateix davant de l'espill.
94,2,,,Yo nunca he bailado pensando que nadie me veía pero no era así.,"Never have I ever danced thinking nobody was watching, when there was someone",Jo mai he ballat pensant que ningú em veia però no era així.
95,2,,,Yo nunca he suspendido un examen de lengua por falta de ortografía.,Never have I ever failed a language test due to typos,Jo mai he suspès un examen de llengua per falta d'ortografia.
96,2,,,Yo nunca he abierto una pizza del revés.,Never have I ever opened a pizza reversedly,Jo mai he obert una pizza de l'inrevés.
97,1,,,Yo nunca he dormido 24h seguidas.,Never have I ever slept 24 hours straight.,Jo mai he dormit 24h seguides.
98,1,,,Yo nunca he roto vajilla.,Never have I ever broken crockery.,Jo mai he trencat vaixella.
99,1,,,Yo nunca he tenido la conversación de la cigueña con mis padres o mis hijos.,Never have I ever had the conversation of the stork with my parents or my children.,Jo mai he tingut la conversa de la cigonya amb els meus pares o els meus fills.
100,1,,,Yo nunca he roto el movil de una caída.,Never have I ever broken my phone by dropping it,Jo mai he trencat el mòbil d'una caiguda.
101,3,,,Yo nunca he pedido a una persona del sexo que me atrae que me enseñe a besar como excusa para liarme.,Never have I ever asked someone i liked to teach me to kiss as an excuse to make out,Jo mai he demanat a una persona de l'sexe que m'atrau que em ensenyi a besar com a excusa per embolicar-me.
102,3,,,Yo nunca me he liado con alguien menor de edad siendo yo mayor de edad.,Never have I ever hooked up with someone underage while I was not.,Jo mai m'he embolicat amb algú menor d'edat mentre jo no ho era.
103,3,,,Yo nunca lo he hecho con alguien menor de edad.,Never have I ever done it with someone underage.,Jo mai ho he fet amb algú menor d'edat.
104,5,,,Yo nunca me he equivocado o se me han equivocado de agujero.,Never have I ever put it or had it put into the wrong hole,Jo mai m'he equivocat o se m'han equivocat de forat.
105,5,,,Yo nunca he follado con público.,Never have I ever fucked with public.,Jo mai he follat ​​amb públic.
106,5,,,Yo nunca he roto un condón.,Never have I ever broken a condom.,Jo mai he trencat un condó.
107,5,,,Yo nunca me he olvidado de alguien con quien me haya acostado.,Never have I ever forgotten someone I've slept with,Jo mai m'he oblidat d'algú amb qui m'hagi ficat al llit.
108,5,,,Yo nunca me he olvidado de alguien con quien me haya liado.,Never have I ever forgotten someone I made out with,Jo mai m'he oblidat d'algú amb qui m'hagi liat
109,2,,,Yo nunca he insultado a un policia a la cara.,Never have I ever insulted a policeman in the face.,Jo mai he insultat a un policia a la cara.
110,3,,,Yo nunca me he lesionado follando.,Never have I ever gotten injured while having sex,Jo mai m'he lesionat follant.
111,3,,,Yo nunca he cambiado de posición durante sexo porque tenía una calambre.,Never have I ever changed positions during sex because I had a cramp.,Jo mai he canviat de posició durant sexe perquè tenia una rampa.
112,3,,,Yo nunca he pensado en cosas que cortan el rollo para tardar más en correrme.,Never have I ever thought of things that kill the mood to take longer to cum.,Jo mai he pensat en coses que tallen el rotllo per trigar més en escórrer.
113,2,,,Yo nunca me he liado con alguien por pesado/a.,Never have I ever hooked up with someone because he/she was too insinsting,Jo mai m'he embolicat amb algú per pesat/ada.
114,1,,,Yo nunca he tenido un crush con algún cantante famoso.,Never have I ever had a crush on a famous singer.,Jo mai he tingut un crush amb algun cantant famós.
115,5,,,Yo nunca he dominado a alguien durante el sexo.,Never have I ever dominated someone during sex.,Jo mai he dominat a algú durant el sexe.
116,5,,,Yo nunca he sido dominado por alguien durante el sexo.,Never have I ever been dominated by someone during sex.,Jo mai he estat dominat per algú durant el sexe.
117,5,,,Yo nunca he usado látigos durante el sexo.,Never have I ever used whips during sex.,Jo mai he fet servir fuets durant el sexe.
118,5,,,Yo nunca he probado el sexo strap-on.,Never have I ever tried strap-on sex.,Jo mai he provat el sexe strap-on.
119,1,,,Yo nunca me he pinchado un dedo con un erizo.,Never have I ever pricked my finger with a hedgehog.,Jo mai m'he punxat amb un eriçó.
120,5,,,Yo nunca me he roto el frenillo follando.,Never have I ever broken the frenulum fucking.,Jo mai m'he trencat el fre follant.
121,1,,,Yo nunca he insultado a un asistente de google.,Never have I ever insulted a google assistant.,Jo mai he insultat a un assistent de google.
122,1,,,Yo nunca le he preguntado a Siri si me amaba.,Never have I ever asked Siri if she loved me.,Jo mai li he preguntat a Siri si m'estimava.
123,2,,,Yo nunca he intentado ligar con un asistente de voz.,Never have I ever tried flirting with voice assistant.,Jo mai he intentat lligar amb un assistent de veu.
124,5,,,Yo nunca he pensado que me gustaría tener sexo con un androide,Never have I ever thought I would have sex with an android,Jo mai he pensat que m'agradaria tenir sexe amb un androide
125,2,,,Yo nunca he besado a alguien que odiaba.,Never have I ever kissed someone I hated.,Jo mai he besat a algú que odiava.
126,3,Papa,,Yo nunca me he acostado con alguien con buen cuerpo pero más simple que el mecanismo de un embudo.,Never have I ever slept with someone with good body but totally braindead> A> Max Papa <a <,Jo mai m'he ficat al llit amb algú amb bon cos però més simple que el mecanisme d'un embut.> A> Max Papa <a <
127,3,,,Yo nunca me he intentado comer el pene a mí mismo.,Never have I ever tried sucking my own penis,Jo mai m'he intentat menjar el penis a mi mateix.
128,2,,,Yo nunca he vuelto con mi ex.,Never have I ever gotten back with my ex.,Jo mai he tornat amb el meu ex.
129,2,,,Yo nunca me he planteado volver con mi ex más reciente.,Never have I ever thought about getting back with my most recent ex.,Jo mai m'he plantejat tornar amb el meu ex més recent.
130,2,,,Yo nunca me he planteado volver con alguno de mis exs.,Never have I ever thought about getting back with an ex.,Jo mai m'he plantejat tornar amb algun dels meus exs.
131,3,,,Yo nunca he parado un polvo para ir al lavabo.,Never have I ever stopped fucking to go to the toilet.,Jo mai he parat de follar per anar a al lavabo.
132,2,,,Yo nunca he creído que sería padre/madre antes de tiempo.,Never have I ever believed that I was going to become a father/mother prematurely.,Jo mai he cregut que seria pare/mare abans d'hora.
133,3,,,Yo nunca he follado sobre el capó de un coche.,Never have I ever fucked on the hood of a car.,Jo mai he follat ​​sobre el capó d'un cotxe.
134,3,,,Yo nunca he follado en el bosque.,Never have I ever fucked in the woods.,Jo mai he follat ​​al bosc.
135,5,,,Yo nunca he follado en un transporte público.,Never have I ever fucked on public transport.,Jo mai he follat ​​en un transport públic.
136,5,,,Yo nunca he pillado a mis suegros follando.,Never have I ever caught my parents-in-law doing it,Jo mai he enxampat als meus sogres follant.
137,5,,,Yo nunca he sido pillado por mis suegros follando.,Never have I ever been caught by my in-laws fucking.,Jo mai he estat enxampat pels meus sogres follant.
138,3,,,Yo nunca he puesto un calcetín en la puerta para avisar de que estaba follando.,Never have I ever put a sock on the door to warn that I was fucking.,Jo mai he posat un mitjó a la porta per avisar que estava follant.
139,3,,,Yo nunca he follado en una tienda de campaña.,Never have I ever fucked in a tent.,Jo mai he follat ​​en una tenda de campanya.
140,2,,,Yo nunca he ligado en un concierto.,Never have I ever hooked up with someone at a concert.,Jo mai he lligat en un concert.
141,2,,,Yo nunca me he liado con un completo desconocido.,Never have I ever hooked up with a complete stranger.,Jo mai m'he embolicat amb un complet desconegut.
142,5,,,Yo nunca le he pedido a un amigo si podía tocarle sus partes íntimas por curiosidad.,Never have I ever asked a friend if I could touch his/her private parts just for curiosity.,Jo mai li he demanat a un amic si podia tocar-li les parts íntimes per curiositat.
143,2,,,Yo nunca he ido a un concierto de alguien que no me gustaba para ligar.,Never have I ever been to a concert which I did not like just to flirt.,Jo mai he anat a un concert d'algú que no m'agradava per lligar.
144,2,,,Yo nunca he hecho postu para ligar.,Never have I ever posted some pictures to be hit on,Jo mai he fet postures per lligar.
145,2,,,Yo nunca me he hecho un corte en mis partes íntimas afeitándomelas.,Never have I ever cut my intimate parts shaving them,Jo mai m'he fet un tall en les meves parts íntimes afeitándomelas.
146,5,,,Yo nunca he dado un beso negro.,Never have I ever done rimming,Jo mai he fet un petó negre.
147,5,,,Yo nunca he recibido un beso negro.,Never have I ever received a rimming,Jo mai he rebut un petó negre.
148,2,,,Yo nunca he fingido un acento extranjero para ligar.,Never have I ever faked an accent to flirt.,Jo mai he fingit accent estranger per lligar.
149,3,,,Yo nunca he fingido un orgasmo.,Never have I ever faked an orgasm.,Jo mai he fingit un orgasme.
150,3,,,Yo nunca he tenido más de un orgasmo en el mismo polvo.,Never have I ever had more than one orgasm in the same fuck,Jo mai he tingut més d'un orgasme a la mateixa cardada.
151,5,,,Yo nunca me he tocado leyendo relatos eróticos.,Never have I ever touched myself reading erotic stories.,Jo mai m'he tocat llegint relats eròtics.
152,5,,,Yo nunca me he tocado viendo hentai.,Never have I ever touched myself watching hentai.,Jo mai m'he tocat veient hentai.
153,5,,,Yo nunca me he comprado un cómic/revista porno.,Never have I ever bought a porn magazine or comic,Jo mai m'he comprat un còmic / revista porno.
154,5,,,Yo nunca he ido a un puticlub.,Never have I ever been to a brothel.,Jo mai he anat a un puticlub.
155,5,,,Yo nunca he conocido a una stripper.,Never have I ever met a stripper.,Jo mai he conegut a una stripper.
156,2,,,Yo nunca he ligado con un bailarín.,Never have I ever flirted with a dancer.,Jo mai he lligat amb un ballarí.
157,1,,,Yo nunca he hecho el baile clásico de la canción Y.M.C.A.,Never have I ever done the Y.M.C.A. dance,Jo mai he fet el ball clàssic de la cançó Y.M.C.A.
158,5,,,Yo nunca he tenido sexo disfrazado/a de algo.,Never have I ever had sex disguised,Jo mai he tingut sexe disfressat/ada d'alguna cosa.
159,5,,,Yo nunca he roleado algún personaje durante el sexo.,Never have I ever roleplayed as character during sex.,Jo mai he roleado algun personatge durant el sexe.
160,2,,,Yo nunca me he declarado a alguien por escrito.,Never have I ever confessed to someone by letter,Jo mai m'he declarat a algú per escrit.
161,2,,,Yo nunca me he declarado a alguien en la primera cita.,Never have I ever confessed to someone on the first date.,Jo mai m'he declarat a algú a la primera cita.
162,3,,,Yo nunca he sido estirado del pelo durante el sexo.,Never have I ever had my hair pulled during sex.,Jo mai he estat estirat de els cabells durant el sexe.
163,3,,,Yo nunca he estirado del pelo a la otra persona durante el sexo.,Never have I ever pulled someone's hair during sex.,Jo mai he estirat de cabells a l'altra persona durant el sexe.
164,2,,,Yo nunca he dado un beso indirecto.,Never have I ever given an indirect kiss.,Jo mai he fet un petó indirecte.
165,2,,,Yo nunca he mirado videos motivacionales.,Never have I ever watched motivational videos.,Jo mai he mirat vídeos motivacionals.
166,1,,,Yo nunca me he comido más de un kebab la misma noche.,Never have I ever eaten more than one kebab the same night.,Jo mai m'he menjat més d'un kebab la mateixa nit.
167,2,,,Yo nunca he tenido un poster erótico en mi habitación.,Never have I ever had an erotic poster in my room.,Jo mai he tingut un pòster eròtic a la meva habitació.
168,2,,,Yo nunca he pegado un acelerón con el coche para hacerme el chulo.,Never have I ever done quick accelerations with the car to show off,Jo mai he pegat una accelerada amb el cotxe per fer-me el xulo.
169,4,,,Yo nunca he conducido borracho o drogado.,Never have I ever driven drunk or drugged.,Jo mai he conduït borratxo o drogat.
170,2,,,Yo nunca he gritado al ver a un famoso.,Never have I ever screamed when seeing a celebrity.,Jo mai he cridat en veure a un famós.
171,3,,,Yo nunca me ha puesto cachondo un profesor/a.,Never have I ever been horny because of a teacher.,Jo mai m'ha posat catxondo un professor/a.
172,5,,,Yo nunca me haría un trio con dos de los presentes.,Never have I ever wanted a thresome with two people present now.,Jo mai em faria un trio amb dos dels presents.
173,2,,,Yo nunca me he bañado desnudo/a en la playa.,Never have I ever swum naked on the beach.,Jo mai m'he banyat nu/a a la platja.
174,3,,,Yo nunca he follado con la tele de fondo.,Never have I ever fucked with the TV on ,Jo mai he follat ​​amb la tele de fons.
175,4,,,Yo nunca he sido arrestado por llevar marihuana.,Never have I ever been arrested for carrying marijuana.,Jo mai he estat arrestat per portar marihuana.
176,3,,,Yo nunca me he liado con alguien para joder a un tercero.,Never have I ever hooked up with someone to fuck a third person,Jo mai m'he embolicat amb algú per fotre a un tercer.
177,3,,,Yo nunca he stalkeado a alguien aqui presente.,Never have I ever stalked someone in here,Jo mai he stalkeado a algú aqui present.
178,3,,,Yo nunca he tenido que parar el polvo por culpa de las lentillas/gafas.,Never have I ever had to stop sex because of my glasses or lenses,Jo mai he hagut de parar a mitges per culpa de les lents de contacte / ulleres.
179,5,,,Yo nunca he visto porno que involucre tentaculos.,Never have I ever seen porn that involves tentacles.,Jo mai he vist porno que involucri tentacles.
180,2,,,Yo nunca he deseado ser del sexo contrario.,Never have I ever wanted to be of the opposite sex.,Jo mai he desitjat ser de el sexe contrari.
181,3,,,Yo nunca he dejado a alguien a medias.,Never have I ever left anyone unfinished,Jo mai he deixat a algú a mitges.
182,2,,,Yo nunca he tenido una erección en educación física.,Never have I ever had an erection during physical education.,Jo mai he tingut una erecció en educació física.
183,3,,,Yo nunca he tenido una erección en el vestuario.,Never have I ever had an erection in the locker room.,Jo mai he tingut una erecció al vestidor.
184,3,,,Yo nunca me he fijado demasiado en alguien en los vestuarios.,Never have I ever stared too much at someone in the locker room.,Jo mai m'he fixat massa en algú als vestidors.
185,2,,,Yo nunca he tenido un crush en la hermana/hermano de mis amigos.,Never have I ever had a crush on the sister / brother of a friend,Jo mai he tingut un crush en la germana o germà d'un dels meus amics.
186,2,,,Yo nunca me he liado con alguien dentro de una iglesia.,Never have I ever made out with someone inside a church.,Jo mai m'he embolicat amb algú dins d'una església.
187,3,,,Yo nunca me he corrido sin avisar.,Never have I ever came without warning.,Jo mai m'he corregut sense avisar.
188,5,,,Yo nunca he intentado tragar corrida y no he podido.,Never have I ever tried to swallow cum but I couldn't,Jo mai he intentat empassar correguda i no he pogut.
189,5,,,Yo nunca he hecho una garganta profunda.,Never have I ever done a deep-throat,Jo mai he fet una gola profunda.
190,5,,,Yo nunca he jugado a la galleta.,Never have I ever played the cookie game,Jo mai he jugat a la galeta.
191,2,,,Yo nunca he dado una nota con mi numero de telefono.,Never have I ever passed my phone in a paper note,Jo mai he donat una nota amb el meu número de telèfon.
192,2,,,Yo nunca he ligado con un camarero/a.,Never have I ever hooked up with a waiter/waitress.,Jo mai he lligat amb un cambrer/a.
193,2,,,Yo nunca he ligado siendo un camarero/a.,Never have I ever hooked up while working as waiter/waitress.,Jo mai he lligat sent un cambrer/a.
194,2,,,Yo nunca he pensado que moriria virgen.,Never have I ever thought I'd die a virgin.,Jo mai he pensat que moriria verge.
195,1,,,Yo nunca he ayudado a un amigo a perder la virginidad.,Never have I ever helped a friend to lose his/her virginity.,Jo mai he ajudat a un amic a perdre la virginitat.
196,2,,,Yo nunca he competido para ligarme a alguien.,Never have I ever competed to hook up with someone,Jo mai he competit per lligar-me a algú.
197,2,,,Yo nunca he ligado por internet.,Never have I ever flirted online,Jo mai he lligat per internet.
198,2,,,Yo nunca he dormido con un desconocido/a.,Never have I ever slept with a stranger.,Jo mai he dormit amb un desconegut/da.
199,2,,,Yo nunca he ligado con alguien con quien no tenia idiomas en común.,Never have I ever flirted with someone who I had no language in common with,Jo mai he lligat amb algú amb qui no tenia idiomes en comú.
200,3,,,Yo nunca he hecho dirty talking durante el sexo.,Never have I ever done dirty talk during sex.,Jo mai he fet dirty talking durant el sexe.
201,5,,,Yo nunca he gemido en un idioma extranjero.,Never have I ever moaned in a foreign language.,Jo mai he gemec en un idioma estranger.
202,3,,,Yo nunca he follado encima de una mesa.,Never have I ever fucked on a table.,Jo mai he follat ​​a sobre d'una taula.
203,3,,,Yo nunca me he follado a un vecino/a.,Never have I ever fucked my neighbor.,Jo mai m'he follat ​​a un veí/ïna.
