Id,Naughtiness,es-es,en-us
57,2,"<p>, ¿nombra una parte de tu cuerpo que sea muy sensible.",
58,1,"<p>, ¿cuál es tu serie favorita?",
59,1,"<p>, ¿cuál es tu película favorita?",
60,1,"<p>, ¿cuál es tu libro favorito?",
61,2,"<p>, ¿cuándo fue la ultima vez que te masturbaste?",
62,3,"<p>, ¿cúando fue la ultima vez que alguien te masturbó?",
63,3,"<p>, ¿cuándo has follado por ultima vez?",
64,5,"<p>, ¿cuál es tu fantasía sexual más rara?",
65,3,"<p>, ¿cuál seria la persona de este mundo con la que más desearias tener sexo?",
66,3,"<p>, ¿con cuanta gente has tenido sexo?",
67,3,"<p>, ¿que cualidad de una persona te impediría tener sexo con ella?",
68,2,"<p>, ¿quien de los presentes crees que tiene mejor culo?",
69,1,"<p>, ¿que es lo que más te atrae de alguien?",
70,2,"<p>, ¿quien de los presentes crees que es más guapo de cara?",
71,2,"<p>, ¿quien de los presentes crees que tiene mejor cuerpo?",
72,3,"<p>, ¿quien de los presentes crees que la tiene más grande?",
73,5,"<p>, ¿a quien elegirias para que te hiciese un oral ahora mismo?",
74,1,"<p>, ¿guardas calcetines agujereados?",
75,1,"<p>, ¿cuál es la pieza de ropa más cara que te has comprado?",
76,3,"<p>, ¿si estuvieras teniendo sexo con una persona y tuviera que llevar una prenda de ropa, qué seria?",
77,3,"<p>, ¿cuál crees que es la parte mas sexy de tu cuerpo?",
78,3,"<p>, ¿cuanto dinero tendrían que pagarte para que le hicieras un oral a tu jefe/profesor?",
79,3,"<p>, ¿cuanto dinero tendrian que pagarte para que le hicieras un oral a <pr>?",
80,5,"<p>, ¿cuál es la historia sexual más rara que has tenido?",
81,5,"<p>, ¿cuál ha sido la cita más rara que has tenido?",
82,2,"<p>, ¿quien es tu ultimo crush?",
83,3,"<p>, ¿con que personaje de ficción te acostarias?",
84,3,"<p>, ¿si a tu pareja le gustara que le lamieran los pies, se los lamerías?",
85,5,"<p>, ¿del 1 al 10, cuál seria tu habilidad para hacer pajas con los pies?",
86,4,"<p>, ¿del 1 al 10, cuál crees que es tu habilidad liando petas?",
87,2,"<p>, ¿del 1 al 10, cuál crees que es tu habilidad bailando?",
88,3,"<p>, ¿del 1 al 10, cuál crees que es tu habilidad en la cama?",
89,3,"<p>, ¿del 1 al 10, cuál crees que es tu habilidad haciendo sexo oral?",
90,2,"<p>, ¿del 1 al 10, cuál crees que es tu habilidad haciendo bailes eróticos?",
91,1,"<p>, ¿del 1 al 10, cuál crees que es tu habilidad con los dedos?",
92,2,"<p>, ¿quien crees que baila peor del grupo?",
93,3,"<p>, ¿quien crees que es mejor en la cama del grupo?",
94,3,"<p>, ¿cuál crees que es el acento más sexy del planeta?",
95,3,"<p>, ¿cuál es la cosa más rara que has dicho durante el sexo?",
96,2,"<p>, ¿cuál es el hobby del que más te avergüenzas?",
97,3,"<p>, ¿cuál es la excusa más rara que has usado para acostarte con alguien?",
98,3,"<p>, ¿cuál es la excusa más rara que has usado para evitar acostarte con alguien?",
99,5,"<p>, ¿cuál es la cosa más rara que te ha puesto cachondo/a?",
100,3,"<p>, ¿cuál es tu mejor frase para ligar?",
101,1,"<p>, ¿quién crees que conduce peor?",
102,5,"<p>, ¿cuándo fué la última vez que te arrepentiste de haber follado? ¿Con quién fué?",
103,2,"<p>, ¿cuál es el máximo de días que has aguantado sin ducharte?",
104,5,"<p>, ¿echas de menos el sexo de tu última ex?",
105,5,"<p>, ¿echas de menos el sexo de alguna ex?",
106,5,"<p>, ¿alguna vez has follado pensando en otra persona?",
107,2,"<p>, ¿alguna vez se te han defecado encima?>a>Buri<a<",
108,5,"<p>, ¿qué hay que hacer para que te lleven al orgasmo?>a>JNP<a<",
109,4,"<p>, ¿has consumido cocaína alguna vez en tu vida?",
110,4,"<p>, ¿cuál es la droga más fuerte que has probado?",
111,4,"<p>, ¿cuál ha sido tu peor experiencia con drogas?",
112,4,"<p>, ¿cuál ha sido tu mejor experiencia con drogas?",
