Id,Naughtiness,Author,SpecialOptions,es-es,en-us,ca
16,3,,,"<p>, elige un jugador a quien deberás darle un beso en la boca en cualquier momento de la noche.","<p>, choose to who you will give a kiss in his/her lips at any point of the night","<p>, tria un jugador a qui hauràs li un petó a la boca en qualsevol moment de la nit."
17,3,,,"<p>, quita la camiseta a <pr> sin usar las manos.","<p>, take off <pr>'s shirt without using your hands","<p>, treu la samarreta a <pr> sense fer servir les mans."
18,2,,,"<p>, en algún momento de la noche pide el número de teléfono a alguien con una frase que te digan tus amigos.","<p>, at any point of the night ask for a stranger's phone number with a pick-up line chosen by your friends","<p>, en algun moment de la nit demana el número de telèfon a algú amb una frase que et diguin els teus amics."
19,2,,,"<p>, baila una sevillana.","<p>, perform a Sevillian dance","<p>, balla una sevillana."
20,1,,,"<p>, durante 2 minutos debes hablarle a la gente con el articulo del sexo opuesto. Acábate la copa si te equivocas.>s>120<s<","<p>, for the next two minutes you will address people as if they were of their opposite gender. Take a sip for every mistake you make.> S> 120 <s <","<p>, durant 2 minuts has de parlar-li a la gent amb l'article de el sexe oposat. Acaba't la copa si t'equivoques.> S> 120 <s <"
21,2,,,"<p>, si durante los próximos 5 minutos dices la palabra no, tendrás que quitarte una prenda.>s>120<s<","<p>, if you use the word ""no"" for the next 5 minutes you will have to take off a the piece of clothing that your friends decide.> S> 500 <s <","<p>, si durant els propers 5 minuts dius la paraula no, hauràs de treure't una peça.> S> 120 <s <"
22,2,,,"<p>, intercambiate una prenda de ropa con <pr>.","<p>, exchange an item of clothing with <pr>.","<p>, intercanvia't una peça de roba amb el/la <pr>."
23,4,,,"<p>, elige a alguien para que beba hasta que tu pares de beber.","<p>, choose someone to take a sip as long as yours","<p>, tria a algú perquè begui fins que el teu parells de beure."
24,2,,,"<p>, deja que tus amigos den 5 likes en tu app para ligar.","<p>, let your friends give 5 ""likes"" in your dating app","<p>, deixa que els teus amics donen 5 likes a la teva app per lligar."
25,2,,,"<p>, chupa el vaso de forma sexy.","<p>, lick your glass in a sexy way","<p>, xucla el got de manera sexy."
26,3,,,"<p>, muérdele el labio a <pr>.","<p>, bite <pr>'s lip","<p>, muérdele el llavi a <pr>."
27,4,,,"<p>, cámbiate el vaso con <pr>.","<p>, exchange your glass with <pr>","<p>, canvia't el got amb <pr>."
28,4,,,"<p>, fuma un calo de lo que esté encendido.","<p>, have a puff of whatever is lighted","<p>, fuma un calo del que estigui encès."
29,2,,,"<p>, deja que tus amigos suban una historia a tu instagram.","<p>, let your friends post a story in your instagram.","<p>, deixa que els teus amics pugin una història al teu instagram."
30,1,,,"<p>, sube una historia con el nombre de esta App (por favor).","<p>, post a story mentioning this app (thanks^^).","<p>, puja una història amb el nom d'aquesta App (si us plau)."
31,3,,,"<p>, deja que tus amigos suban una encuesta en una historia de tu instagram.","<p>, let your friends post a story with a survey in your instagram.","<p>, deixa que els teus amics pugin una enquesta en una història de la teva instagram."
32,1,,,"<p>, lánzale el tapon de una botella a alguien.","<p>, throw a bottle's cap to someone","<p>, lánzale el tap d'una ampolla a algú."
33,4,,,"<p>, si te terminas el vaso puedes repartir 3 tragos.","<p>, if you finish your cup right now you can distribute 3 sips","<p>, si et acabes el got pots repartir 3 glops."
34,2,,,"<p>, mete un cubito de hielo en la ropa de <pr>.","<p>, put an ice cube under <pr>'s clothes","<p>, fica un glaçó de gel a la roba de <pr>."
35,2,,,"<p>, acaricia gentilmente el torso de <pr>.","<p>, gently caress <pr>'s torso","<p>, acaricia gentilment el tors de <pr>."
36,5,,,"<p>, tócale el pezón a <pr>.","<p>, touch <pr>'s nipples","<p>, toca-li el mugró a <pr>."
37,3,,,"<p>, seduce a <pr>.","<p>, try to seduce <pr>.","<p>, sedueix <pr>."
38,2,,,"<p>, tira alguna cosa que haya encima de la mesa por la ventana.","<p>, throw something you find on top of the table through the window","<p>, llença alguna cosa que hagi damunt de la taula per la finestra."
39,2,,,"<p>, deja que tus amigos respondan a alguno de tus mensajes no leídos.","<p>, let your friends reply to any of your unread messages.","<p>, deixa que els teus amics responguin a algun dels teus missatges sense llegir."
40,2,,,"<p>, imita a un pato durante 15 segundos.>s>15<s<","<p>, imitate a duck for 15 seconds.> S> 15 <s <","<p>, imita un ànec durant 15 segons.> S> 15 <s <"
41,5,,,"<p>, desabrocha el sujetador a una jugadora de tu elección.","<p>, unfasten the bra of a player of your choice","<p>, descorda el sostenidor a una jugadora de la teva elecció."
42,3,,,"<p>, muerdele el culo a <pr>.","<p>, bite <pr>'s ass","<p>, muerdele el cul a <pr>."
43,5,,,"<p>, lámele el torso a <pr>.","<p>, lick <pr>'s torso","<p>, llepa-li el tors a <pr>."
44,1,,,"<p>, deja que <pr> te haga cosquillas durante 30 segundos.>s>30<s<","<p>, let <pr> tickle you for 30 seconds.> S> 30 <s <","<p>, deixa que <pr> et faci pessigolles durant 30 segons.> S> 30 <s <"
45,1,,,"<p>, durante los próximos 5 minutos tendrás que dirigirte a la gente por su apellido.>s>300<s<","<p>, for the next 5 minutes you have to call people by their last name.> S> 300 <s <","<p>, durant els propers 5 minuts hauràs de dirigir-te a la gent pel seu cognom.> S> 300 <s <"
46,4,,,"<p>, representa a una persona encocada.","<p>, impersonate a high on cocaine man","<p>, representa una persona encocada."
47,2,,,"<p>, el grupo elige que prenda de ropa te tienes que quitar.","<p>, the group decides what item of clothing you have to remove","<p>, el grup tria que prendra de roba t'has de treure."
48,3,,,"<p>, el grupo decide a quien le das un beso.","<p>, the group decides who you have to give a kiss to","<p>, el grup decideix a qui li fas un petó."
49,1,,,"<p>, posa como una estatua, los demas deben imitarte. El primero en moverse pierde y bebe 3 tragos.","<p>, pose like a statue, the rest have to imitate you. The first one to move loses and drinks 3 sips","<p>, posa com una estàtua, els altres han de imitar. El primer a moure perd i beu 3 glops."
50,2,,,"<p>, elije a dos personas para que se azoten el culo el uno al otro.","<p>, choose 2 people to slap each other's ass","<p>, tria a dues persones perquè es fuetegin el cul l'un a l'altre."
51,3,,,"<p>, cierra los ojos y deja que varias personas del grupo te besen, luego elige quien besa mejor.","<p>, close your eyes and 3 people in the group kiss you, then choose who is the best kisser","<p>, tanca els ulls i deixa que diverses persones de el grup et facin petons, després tria qui besa millor."
52,3,,,"<p>, dale un beso a todas las personas del sexo opueso.","<p>, kiss every player of your opposite gender","<p>, dóna-li un petó a totes les persones de l'sexe opueso."
53,3,Adrian,,"<p>, dale un beso a todas las personas de tu mismo sexo.","<p>, kiss every player of your own gender.","<p>, dóna-li un petó a totes les persones del teu mateix sexe."
54,3,,,"<p>, date un pico con dos personas que elijas al mismo tiempo.","<p>, kiss two people of your choice at the same time","<p>, dónali un petó a dues persones que escullis a el mateix temps."
55,3,Aina,,"<p>, besa a <pr> en una parte de su cuerpo que empiece por la letra inicial de tu nombre.","<p>, kiss a part of <pr>'s body that starts with same letter as his/her name.> A> Aina <a <","<p>, fa un petó a <pr> en una part del seu cos que comenci per la lletra inicial del teu nom.> A> Aina <a <"
56,3,Aina,,"<p>, besa a <pr> en una parte de su cuerpo que empiece por la letra inicial de tu apellido.","<p>, kiss a part of <pr>'s body that begins with the first letter of your last name.> A> Aina <a <","<p>, fa un petó a <pr> en una part del seu cos que comenci per la lletra inicial del teu cognom.> A> Aina <a <"
57,3,,,"<p>, besa a la persona que te parece más atractiva de tu mismo sexo.","<p>, kiss the most attractive player of your own gender","<p>, fa un petó a la persona que et sembla més atractiva del teu mateix sexe."
58,3,,,"<p>, besa a la persona que te parece más atractiva del sexo opuesto.","<p>, kiss the most attractive player of your opposite gender","<p>, fa un petó a la persona que et sembla més atractiva de el sexe oposat."
59,2,Los Niños,,"<p>, imita a Michael Jackson.","<p>, imitate Michael Jackson.> A> The children <a <","<p>, imita Michael Jackson.> A> Els Nens <a <"
60,3,,,"<p>, deja que <pr> te toque las partes.","<p>, let <pr> touch your private parts","<p>, deixa que <pr> et toqui les parts."
61,3,,,"<p>, muérdele la oreja a <pr>.","<p>, gently bite <pr>'s ear","<p>, muérdele l'orella a <pr>."
62,3,,,"<p>, intenta juntar los codos durante 15s.","<p>, try to connect your elbows during 15 seconds","<p>, intenta ajuntar els colzes durant 15s."
63,2,,,"<p>, llama a alguien de tu agenda al azar.","<p>, call a random person among your contacts","<p>, truca a algú de la teva agenda a l'atzar."
64,2,,,"<p>, tararea una canción hasta que alguien la adivine.","<p>, hum a song until someone guesses it.","<p>, taral·leja una cançó fins que algú l'endevini."
65,2,,,"<p>, haz un calvo.","<p>, show us your naked ass","<p>, fes un calb."
66,2,,,"<p>, baila el gagnam style.","<p>, dance the gangnam style","<p>, balla el gagnam style."
67,1,,,"<p>, haz el pino-puente.","<p>, do a headstand","<p>, fes el pi-pont."
68,1,,,"<p>, ábrete de piernas todo lo que puedas.","<p>, spread your legs as much as you can","<p>, obre't de cames tot el que puguis."
69,2,,,"<p>, publica una historia con tu cara más fea.","<p>, post an insta story with your ugliest face","<p>, publica una història amb la teva cara més lletja."
70,5,,,"<p>, simula un orgasmo.","<p>, simulate an orgasm","<p>, simula un orgasme."
71,2,,,"<p>, haz twerk delante de alguien.","<p>, twerk in front of another player","<p>, fes Twerk davant d'algú."
72,2,,,"<p>, explica una historia tuya que te dé mucha vergüenza.","<p>, tell a story that makes you feel embarassed","<p>, explica una història teva que et doni molta vergonya."
73,4,,,"<p>, bebe una cerveza haciendo una turbolata.","<p>, drinking a beer making a hole in it","<p>, beu una cervesa fent una turbolata."
74,5,,,"<p>, cuenta un sueño erótico que hayas tenido.","<p>, explain an erotic dream you've had","<p>, compte un somni eròtic que hagis tingut."
75,5,,,"<p>, posa como si estuvieras disfrutando de tu postura sexual favorita.","<p>, pose like you're enjoying your favorite sexual position.","<p>, posa com si estiguessis gaudint de la teva postura sexual preferida."
76,5,Crespo,,"<p>, besa al anfitrión/a en la boca.","<p>, kiss the host/hostess on the mouth.","<p>, fes-li un petó al anfitrió/na a la boca."
77,5,,,El grupo decide un reto y <p> tira una moneda. Si sale cara él deberá cumplirlo.,"The group decides a challenge and <p> flips a coin. If its heads, it will have to be done.",El grup decideix un repte i <p> llença una moneda. Si surt cara ell l'ha de complir.
78,2,,,"<p>, ponte los zapatos de <pr> en la nariz durante 30 segundos.","<p>, deeply smell <pr>'s shoes for 30 seconds.","<p>, posa't les sabates de <pr> al nas durant 30 segons."
79,1,,,"<p>, imita a una jirafa.","<p>, imitate a giraffe.","<p>, imita una girafa."
80,1,,,"<p>, imita a un gorila.","<p>, imitate a gorilla.","<p>, imita un goril·la."
81,2,,,"<p>, imita a uno/a de los presentes","<p>, imitate one of the people present.","<p>, imita un/a dels presents"
82,2,,,"<p>, di el abecedario al revés.","<p>, say the alphabet backwards.","<p>, digues l'abecedari al revés."
83,1,,,"<p>, di la diferencia entre camello y dromedario correctamente.","<p>, say the difference between a camel and a dromedary correctly.","<p>, digues la diferència entre camell i dromedari correctament."
